_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,,,,,g,g,,,,,,,,,,,,br,br,br,g,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,,,,,d,d,,,,,,,,,,,,,,,d,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb,,,,,,,,,,,,,,,,,,,,,d,d,,,c,,,,,,,,,,,,,,,,,,,,d,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ssp,ssp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ssp,ssp,,,,,,c,c,c,,,,,,,,,,,,,,,,,,,,d,d,,,,,,,,,,,br,br,,,,,,,,,,,d,,,,d,br,br,g,,bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,gb,ssp,ssp,,,,,,,,,,,,,,,,ssp,ssp,ssp,,,,,,,,,,,ssp,ssp,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ssp,ssp,ssp,ssp,,,,,,,,,,,,,,,,ssp,ssp,ssp,,,,,,,,,,ssp,ssp,ssp,g,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,,,,gb,,,,,,,,,,,,,,,,,,,d,,,,,,,d,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
,,,,,ssp,ssp,ssp,ssp,,,,,,,,,,,,,,,,ssp,ssp,ssp,,g,g,g,,,,,gb,gb,g,g,d,br,br,g,g,g,g,g,g,g,,,,l,l,l,,,,,g,,,,,,,d,d,br,br,g,g,g,,,,,,,,,,,l,l,l,,,,,d,,,,,ssp,,d,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
,,,sp,sk,ssp,ssp,ssp,ssp,,,,,sk,,,,br,br,,g,g,g,g,g,g,g,g,d,d,d,g,g,g,g,g,g,d,d,d,,,d,d,d,d,d,d,d,,,,,,,,,,,d,,,,,,,,,,,d,d,d,,,,,,,,,,,,,,,,,,d,,,ssp,ssp,ssp,,d,,,,,,,,,,,goal,,,,,,,,,g,,,,,,,,,,,,,,,,,,,
g,g,g,g,g,g,g,g,g,g,br,br,g,g,g,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,d,d,d,d,d,d,d,,,,,,,,,,,d,,,,,,,l,l,l,l,d,d,d,g,br,br,,,,,,,,,,,,,,,d,,gb,ssp,ssp,ssp,,d,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
d,d,d,d,d,d,d,d,d,d,,,d,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,d,d,d,d,d,d,d,,,,,,,,,,,d,g,g,g,,,,,,,,d,d,d,d,,,,,,,,,,,,,,,,,d,g,g,g,g,g,g,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
d,d,d,d,d,d,d,d,d,d,,,d,d,d,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,,,d,d,d,d,d,d,d,,,,,,,,,,,d,d,d,d,,,,,,,,d,d,d,d,,,,,,,,,,,,,,,,,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d
